//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 937023
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00937023;1;01/01/1935;1;49;91,6;26;5;1;1;0;693,3;1;20,4;14;0,7;0;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/02/1935;1;77,6;121,3;9;4;1;1;0;693,3;1;16,2;0;0;0;0;0;0;0;77,6;18,5;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937023;1;01/03/1935;1;31,6;31,6;24;1;1;1;0;693,3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,6;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/04/1935;1;15;32,8;1;5;1;1;0;693,3;1;15;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;5,5;3,3;0;0;7,5;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/05/1935;1;23,6;127,3;4;15;1;1;0;693,3;1;0;0;0;23,6;0;11;2,6;2,8;0;2,5;19;0;1,7;1,3;0;0;17,4;10,6;2,6;0;0;0;0;0;3,7;10,3;7,6;0;10,6;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/06/1935;1;41,1;118,9;22;12;1;1;0;693,3;1;0;0;0;19,4;0;3;0;0;0;2,8;0;0;0;0;0;0;3,5;0;0;0;3,9;41,1;14,2;2;2,2;7,6;16,2;0;3;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/07/1935;1;7,2;41;5;9;1;1;0;693,3;1;0;1,2;0;0;7,2;3,2;3,8;4,8;5,6;0;0;0;0;0;7;3,7;0;0;0;0;0;0;4,5;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/08/1935;1;16;93,5;16;19;1;1;0;693,3;1;0;0;0;0;0;6,5;11;2,5;2,3;0;6,8;0;5,7;2,1;5,1;16;6,4;7,6;2,7;2,1;2,5;0;3,1;0;3,7;0;1,8;1,2;0;4,4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/09/1935;1;0;0;1;0;1;1;1;693,3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/10/1935;1;0;0;1;0;1;1;1;693,3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/11/1935;1;35,3;35,3;25;1;1;1;0;693,3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,3;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/12/1935;1;0;0;1;0;1;1;1;693,3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/01/1936;1;0;0;1;0;1;1;1;396,7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/02/1936;1;21,7;66,1;15;11;1;1;0;396,7;1;0;7,7;10,3;0;0;0;0;0;6,5;3,4;3,3;3;0;0;21,7;1,7;1,8;4,5;2,2;0;0;0;0;0;0;0;0;0;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
00937023;1;01/03/1936;1;39,8;46,3;7;2;1;1;0;396,7;1;0;6,5;0;0;0;0;39,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/04/1936;1;23;57;22;8;1;1;0;396,7;1;0;0;0;0;2;0;0;13,5;1;0;1,2;0;0;0;0;0;0;10,8;3,5;0;0;23;0;0;0;0;0;0;0;2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/05/1936;1;5,5;14,3;8;5;1;1;0;396,7;1;0;0;0;0;0;5;0;5,5;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1,5;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/06/1936;1;24,5;107,5;18;17;1;1;0;396,7;1;0;1,5;11,5;14,7;0;1,4;0;2,6;5,8;0;0;1,8;6,5;7,1;0;0;2,2;24,5;10,5;0;0;0;0;9,4;0;1,8;0;2,5;2,8;0,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/07/1936;1;23,8;76,4;10;13;1;1;0;396,7;1;0;0;0;7,8;3,1;1,1;0;0;2,5;23,8;8,5;0;0;6,1;0;0;0;0;0;0;4;2;5;5,3;0;2,2;5;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/08/1936;1;3;13,3;16;8;1;1;0;396,7;1;1;0;1,5;1;0;0;0;0;0;0;1;0;1;2;2,8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
